一	yī: one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / "one" radical in Chinese characters (Kangxi radical 1) 
一切	yī qiè: everything / every / all 
第一	dì yī: first / number one 
一邊	yī biān: one side / either side / on the one hand / on the other hand / doing while 
統一	tǒng yī: to unify / to unite / to integrate 
一定	yī dìng: surely / certainly / necessarily / fixed / a certain (extent etc) / given / particular / must 
一些	yī xiē: some / a few / a little 
一樣	yī yàng: same / like / equal to / the same as / just like 
之一	zhī yī: one of (sth) / one out of a multitude / one (third, quarter, percent etc) 
進一步	jìn yī bù: one step further / to move forward a step / further onwards 
